domain,lat,lng,locationVerified,awsOrigin,facebookUrl,siteName,twitterUsername,itunesAppStoreUrl,twitterAccountCreatedAt,twitterUserId,twitterFollowers,twitterFollowing,twitterTweets
abilenetimes.com,32.4487364,-99.7331439,0,3.213.234.4,,Abilene Times,,,,,,,
abqtimes.com,35.0843859,-106.650422,0,3.219.182.20,,ABQ Times,,,,,,,
adamscountytimes.com,39.8398269,-104.1930918,0,3.219.182.20,,,,,,,,,
adareporter.com,38.52,-89.98,0,3.219.182.20,,,,,,,,,
aikentimes.com,33.5604168,-81.7195533,0,3.212.144.110,,,,,,,,,
akbusinessdaily.com,,,0,34.234.42.207,https://facebook.com/Alaska-Business-Daily-2099861930286698,Alaska Business Daily,,,,,,,
akronreporter.com,41.0814447,-81.5190053,0,3.218.216.245,,,,,,,,,
albanystandard.com,42.6525793,-73.7562317,0,3.212.144.110,,,,,,,,,
albusinessdaily.com,,,0,34.234.42.207,https://facebook.com/Alabama-Business-Daily-499614453836277/,Alabama Business Daily,,,,,,,
alleghenyhighlandstoday.com,37.7717792,-79.9669001,0,3.212.144.110,,,,,,,,,
amarillogazette.com,35.2219971,-101.8312969,0,3.213.234.4,,Amarillo Gazette,,,,,,,
amestoday.com,42.0307812,-93.6319131,0,3.224.13.68,https://business.facebook.com/Ames-Today-101356211280133/?business_id=898179107217559,Ames Today,,,,,,,
andersonreporter.com,38.97383,-95.250525,0,3.218.216.245,,,,,,,,,
annarbortimes.com,42.2808256,-83.7430378,0,3.218.216.245,https://business.facebook.com/Ann-Arbor-Times-105059500884218/?business_id=898179107217559,Ann Arbor Times,,,,,,,
annearundeltoday.com,38.9530109,-76.5488232,0,35.170.88.147,,Anne Arundel Today,,,,,,,
anokatimes.com,45.1977428,-93.3871758,0,3.224.13.68,https://business.facebook.com/Anoka-Times-103161674441007/?business_id=898179107217559,Anoka Times,,,,,,,
arbusinessdaily.com,,,0,34.234.42.207,https://facebook.com/Arkansas-Business-Daily-2181112815251856,Arkansas Business Daily,,,,,,,
ashevillereporter.com,35.5950581,-82.5514869,0,3.212.144.110,https://www.facebook.com/Asheville-Reporter-120029399386332/,Asheville Reporter,,,,,,,
athensreporter.com,37.9838096,23.7275388,0,3.212.144.110,,,,,,,,,
atlstandard.com,33.6407282,-84.4277001,0,3.212.144.110,,,,,,,,,
auburntimes.com,32.6098566,-85.4807825,0,3.213.234.4,,,,,,,,,
austintxnews.com,30.267153,-97.7430608,0,3.213.234.4,,Austin News,,,,,,,
azbusinessdaily.com,,,0,34.234.42.207,https://www.facebook.com/AZBusinessDaily/,Arizona Business Daily,,,,,,,
baldwintimes.com,38.7747055,-95.2009909,0,3.213.234.4,,,,,,,,,
baltimorecitywire.com,39.2903848,-76.6121893,0,35.170.88.147,https://www.facebook.com/,Baltimore City Wire,,,,,,,
batonrougereporter.com,30.4514677,-91.1871466,0,3.213.234.4,,,,,,,,,
battlecreektimes.com,44.868691,-123.022714,0,3.218.216.245,https://business.facebook.com/Battle-Creek-Times-101371024590467/?business_id=898179107217559,Battle Creek Times,,,,,,,
beehivestatenews.com,39.3209801,-111.0937311,0,3.219.182.20,,,,,,,,,
bentontimes.com,34.5645371,-92.586828,0,3.213.234.4,,,,,,,,,
berkeleyleader.com,37.8715226,-122.273042,0,3.212.144.110,,,,,,,,,
bigskytimes.com,45.2617806,-111.3080244,0,3.219.182.20,https://www.facebook.com/Big-Sky-Times-101042667988813/,Big Sky Times,,,,,,,
bloomingtonleader.com,39.165325,-86.5263857,0,3.218.216.245,,,,,,,,,
bluegrasstimes.com,37.984467,-121.4957979,0,3.213.234.4,https://business.facebook.com/Bluegrass-Times-105734507479060/?business_id=898179107217559,Bluegrass Times,,,,,,,
bluestonenews.com,39.9636111,-82.985,0,3.212.144.110,,,,,,,,,
boisecitywire.com,43.6150186,-116.2023137,0,3.219.182.20,,,,,,,,,
boulderleader.com,40.0149856,-105.2705456,0,3.219.182.20,,,,,,,,,
bowlinggreentoday.com,36.9685219,-86.4808043,0,3.213.234.4,https://business.facebook.com/Bluegrass-Times-105734507479060/?business_id=898179107217559,Bowling Green Today,,,,,,,
bransontimes.com,36.6436731,-93.2185144,0,3.224.13.68,,,,,,,,,
brevardsun.com,35.2334472,-82.7342919,0,3.212.144.110,,Brevard Sun,,,,,,,
buckeyereporter.com,33.3703197,-112.5837766,0,3.218.216.245,,,,,,,,,
burlingtonreporter.com,36.135688,-95.9199116,0,3.212.144.110,https://www.facebook.com/Burlington-Reporter-121484399239483/,Burlington Reporter,,,,,,,
butlercountytoday.com,39.440463,-84.5222189,0,3.218.216.245,,,,,,,,,
cabarrustoday.com,35.4168123,-80.5882803,0,3.212.144.110,https://www.facebook.com/Cabarrus-Today-110013390395328/,Cabarrus Today,,,,,,,
cabusinessdaily.com,,,0,34.234.42.207,https://facebook.com/California-Business-Daily-800849203443822,California Business Daily,,,,,,,
cantonreporter.com,34.2367621,-84.4907621,0,3.218.216.245,,,,,,,,,
capemonews.com,37.3058839,-89.5181476,0,3.224.13.68,,,,,,,,,
carbondalereporter.com,37.7272727,-89.2167501,0,35.170.88.147,https://www.facebook.com/Carbondale-Reporter-464661937077937/,Carbondale Reporter,carbondale_news,,2016-05-31T21:33:25.000Z,7.38E+17,143,19,1907
cdareporter.com,44.831093,-93.1571926,0,3.219.182.20,,,,,,,,,
cedarrapidstoday.com,41.9778795,-91.6656232,0,3.224.13.68,https://business.facebook.com/Cedar-Rapids-Today-100591341357573/?business_id=898179107217559,Cedar Rapids Today,,,,,,,
centennialstatenews.com,39.5500507,-105.7820674,0,3.219.182.20,,,,,,,,,
centralbrowardnews.com,26.139978,-80.198734,0,3.212.144.110,,Central Broward News,,,,,,,
centralcoloradonews.com,39.5500507,-105.7820674,0,3.219.182.20,,,,,,,,,
centralgeorgianews.com,32.8125938,-83.6918538,0,3.212.144.110,,,,,,,,,
centralidahotimes.com,42.6349193,-111.8116205,0,3.219.182.20,,,,,,,,,
centraliowatimes.com,41.8780025,-93.097702,0,3.224.13.68,https://business.facebook.com/Central-Iowa-Times-118311509573706/?business_id=898179107217559,Central Iowa Times,,,,,,,
centrallouisiananews.com,30.554281,-91.0368766,0,3.213.234.4,,,,,,,,,
centralmissourinews.com,38.758081,-93.7383705,0,3.224.13.68,,,,,,,,,
centralmontanatimes.com,47.4996436,-111.2721245,0,3.219.182.20,https://www.facebook.com/Central-Montana-Times-104433430978464/,Central Montana Times,,,,,,,
centralndnews.com,31.087063,-97.3879047,0,3.224.13.68,,,,,,,,,
centralnovanews.com,26.0883308,-80.2379834,0,3.212.144.110,,,,,,,,,
