Domain,Name,Reference,FB Followers,Twitter Followers,FB Page,Twitter URL,Address,Notes
frc.org,Family Research Council (FRC),ToDo: check reference,"276,977",43.4K,https://www.facebook.com/familyresearchcouncil/,https://twitter.com/FRCdc,"801 G Street NW, Washington, DC 20001","Formerly part of Focus on the Family, James Dobson is a founder. Currently headed by Tony Perkins. FRC Action is their legislative affiliate (Josh Duggar was executive director, LOL). Puts on Values Voter Summit. At least two high level members went from FRC to CWA. "
"concernedwomen.org, also cwfa.org",Concerned Women for America (CWA),ToDo: check reference,"372,487",12.7K,https://www.facebook.com/ConcernedWomenforAmerica,https://twitter.com/CWforA,N/A,"Founded by Tim LaHaye. LaHaye also created Council for National Policy, American Coalition for Traditional Values, and Coalition for Religious Freedom. Connected to Jerry Falwell, Moral Majority, Liberty University, John Birch Society."
2ndvote.com,2nd Vote,ToDo: check reference,"12,580","3,521",https://www.facebook.com/2ndVote/,https://twitter.com/2ndVote,"PO Box 2916, Hendersonville, TN 37077","Founded by Dr. David L. Black, former CEO of Aegis Sciences, wife is a former congressperson for Tennessee"
abidingtruth.com - not found,,ToDo: check reference,,,,,,"There's an Abiding Truth Ministries, not sure if connected"
activistmommy.com,Activist Mommy,ToDo: check reference,"757,295","4,950",https://www.facebook.com/theactivistmommy/,https://twitter.com/activistmommy1,N/A,Founded by Elizabeth Johnston
"addthis.com - website customizing, not political",,ToDo: check reference,,,,,,
afamichigan.org,American Family Association of Michigan,ToDo: check reference,722,N/A,https://www.facebook.com/AFA.Michigan/,N/A,N/A,"Founded by Gary Glenn, former GOP Michigan House Rep, member of NRA, won award from National Right to Work Committee"
afa.net,American Family Association,ToDo: check reference,"243,725",17.1K,https://www.facebook.com/AMERICANFAMASSC/?rf=111424082202479,https://twitter.com/americanfamassc,"PO Drawer 2440, Tupelo, MS 38803","Owns American Family Radio and OneNewsNow.com, created One Million Moms, founder Donald Wildmon used to be friends with Jerry Falwell"
onenewsnow.com,One News Now,ToDo: check reference,"18,517","5,672",https://www.facebook.com/onenewsnowcom,https://twitter.com/onenewsnowcom,same as above,Owned and run by American Family Association
afaofpa.org,American Family Association of Pennsylvania,ToDo: check reference,789,282,https://www.facebook.com/afaofpa,https://twitter.com/AFAofPA,"1054 PA-428, Oil City, PA 16301",
albertmohler.com,Albert Mohler,ToDo: check reference,"109,602",173.9K,https://www.facebook.com/AlbertMohlerSBTS/,https://twitter.com/albertmohler,,"President of Southern Baptist Theological Seminary, board member of World News Group, former board member of Focus on the Family"
alliancedefendingfreedom.org (also adflegal.org),Alliance Defending Freedom,ToDo: check reference,"1,660,065",34.6K,https://www.facebook.com/AllianceDefendingFreedom,https://twitter.com/alliancedefends,"15100 N 90th St, Scottsdale, AZ 85260","Another group James Dobson helped found, co-founder Alan Sears served for Reagan and HW Bush, ADF also created Blackstone Legal Fellowship"
americansfortruth.com,Americans for Truth About Homosexuality,ToDo: check reference,671,"5,353",https://www.facebook.com/pages/category/Community/Americans-for-Truth-AFTAH-234772606580297/,https://twitter.com/PeterLaBarbera,"PO Box 5522, Naperville, IL 60567","Peter LaBarbera has appeared on Focus on the Family, One News Network, American Family Radio, worked at both FRC and CWA, and was exec director of Illinois Family Institute (sister org of Illinois Family Action)"
illinoisfamilyaction.org (also ifiaction.org),Illinois Family Action,ToDo: check reference,"16,087",941,https://www.facebook.com/IllinoisFamilyAction,https://twitter.com/ILfamilyaction,"PO Box 93, Mokena, IL 60448","Legislative arm of Illinois Family Institute, which has ties to American Family Association, FRC, Alliance Defending Freedom, and Liberty Council. Laughably claims to be grassroots."
illinoisfamily.org,Illinois Family Institute,UA-474105-: view-source:https://cookcountyrecord.com view-source:https://web.archive.org/web/20120117222403/illinoisfamily.org,"21,949","1,464",https://www.facebook.com/IllinoisFamilyInstitute,https://twitter.com/ProFamilyIFI,"PO Box 876, Tinley Park, IL 60477","This is a page of the Illinois Family Institute, see above entry"
lc.org,Liberty Council,ToDo: check reference,"36,894","7,904",https://www.facebook.com/LibertyCounsel,https://twitter.com/libertycounsel,"PO Box 540774, Orlando, FL 32854",Founder Mathew Staver also founded Liberty University Law School with Jerry Falwell
c2athisweek.org - not found,,ToDo: check reference,,,,,,
caapusa.org,Coalition of African-American Pastors,ToDo: check reference,"7,594","3,023",https://www.facebook.com/CAAPUSA/,https://twitter.com/caapusa,"2654 W. Horizon Ridge Pkwy, Ste B5-139, Henderson, NV 89052",Another group that claims to be grassroots but has backing from FRC and American Family Association. Founder William Owens is liaison to National Organization for Marriage.
capitolresource.org,Capitol Resource Institute,ToDo: check reference,"2,679",801,https://www.facebook.com/capitolresourceinstitute/,https://twitter.com/CapitolRI,"Sacramento, CA","Connected to all these other groups but hides it on their website, possibly gets money from Koch"
carolinacrossroads.news,Carolina Crossroads News,ToDo: check reference,,,,,,"Poorly disguised as local news. No contact info, address, FB, or Twitter. Instead links to minds.com and bitchute. Features David Duke videos."
ccv.org,Citizens for Community Values,ToDo: check reference,"3,021","1,462",https://www.facebook.com/CCVOhio/,https://twitter.com/ccvohio,"PO Box 2945, Columbus, OH 43216","Hides that they're affiliated with Focus on the Family, claims to be grassroots"
chicagobusiness.com,Crain's Chicago Business,ToDo: check reference,,,,,"150 N Michigan Ave, Chicago, IL 60601","Appears to be legitimate, non-partisan news"
chicago.suntimes.com,Chicago Sun-Times,ToDo: check reference,,,,,,Appears to be legitimate news
christianrights.org,"Christian Rights Ministries, Inc",ToDo: check reference,110,N/A,https://www.facebook.com/ChrRtsMin/,N/A,"133 Mount Pleasant Rd, Cheaspeake, VA 23322","Affiliated with Liberty Council and Alliance Defending Freedom, among others"
coalitionofconscience.askdrbrown.org,Coalition of Conscience,ToDo: check reference,"578,192",38.8K,https://www.facebook.com/AskDrBrown,https://twitter.com/DrMichaelLBrown,"PO Box 5546, Concord, NC 28027","Dr. Brown contributes to Townhall.com ""news"" site, previously owned by the Heritage Foundation, now owned by Salem"
communityissuescouncil.org,Community Issues Council,ToDo: check reference,"1,754",N/A,https://www.facebook.com/CommunityIssuesCouncil/,N/A,N/A,"Founder Terry Temple, no info"
"com.xyz - ad network, doesn't seem to be active",,ToDo: check reference,,,,,,
