awsOrigin,domain,state,lat,lng,locationVerified,httpResponseCode,contentLength,facebookUrl,siteName,twitterUsername,itunesAppStoreUrl,twitterAccountCreatedAt,twitterUserId,twitterFollowers,twitterFollowing,twitterTweets,siteOperator,twitterSuspended
3.82.80.110,aikentimes.com,SC,33.56,-81.72,0,200,53512,https://www.facebook.com/Aiken-Times-102699811416534/,Aiken Times,,,,,,,,Metric Media,
3.82.80.110,albanystandard.com,GA,31.58,-84.16,0,200,58807,https://www.facebook.com/Albany-Standard-108943094110818/,Albany Standard,,,,,,,,Metric Media,
3.82.80.110,alleghenyhighlandstoday.com,WV,39.08,-79.65,0,200,47427,https://www.facebook.com/Allegheny-Highlands-Today-101682801505285/,Allegheny Highlands Today,,,,,,,,Metric Media,
34.236.176.60,ashevillereporter.com,NC,35.6,-82.55,0,200,80042,https://www.facebook.com/Asheville-Reporter-120029399386332/,Asheville Reporter,,,,,,,,Metric Media,
3.82.80.110,athensreporter.com,GA,33.95,-83.36,0,200,60020,https://www.facebook.com/Athens-Reporter-109637927374023/,Athens Reporter,,,,,,,,Metric Media,
3.82.80.110,atlstandard.com,GA,33.75,-84.39,0,200,68405,https://www.facebook.com/ATL-Standard-107402254266266/,ATL Standard,,,,,,,,Metric Media,
3.82.80.110,berkeleyleader.com,SC,33.13,-80.01,1,200,48518,https://www.facebook.com/Berkeley-Leader-108342870841036/,Berkeley Leader,,,,,,,,Metric Media,
3.82.80.110,bluestonenews.com,WV,37.31,-81.32,1,200,49245,https://www.facebook.com/Bluestone-News-107164884281961/,Bluestone News,,,,,,,,Metric Media,
34.236.176.60,brevardsun.com,FL,28.26,-80.72,0,200,77391,https://www.facebook.com/Brevard-Sun-101277351233206/,Brevard Sun,,,,,,,,Metric Media,
34.236.176.60,burlingtonreporter.com,NC,36.1,-79.44,0,200,79992,https://www.facebook.com/Burlington-Reporter-121484399239483/,Burlington Reporter,,,,,,,,Metric Media,
34.236.176.60,cabarrustoday.com,NC,35.42,-80.59,0,200,-1,https://www.facebook.com/Cabarrus-Today-110013390395328/,Cabarrus Today,,,,,,,,Metric Media,
3.82.80.110,centralbrowardnews.com,FL,26.19,-80.37,0,200,-1,https://www.facebook.com/Central-Broward-News-112366486982920/,Central Broward News,,,,,,,,Metric Media,
3.82.80.110,centralgeorgianews.com,GA,32.17,-82.9,0,200,55009,https://www.facebook.com/Central-Georgia-News-104162577928636/,Central Georgia News,,,,,,,,Metric Media,
34.236.176.60,centralnovanews.com,VA,38.83,-77.24,0,200,61340,https://www.facebook.com/Central-Nova-News-111007417207364,Central Nova News,,,,,,,,Metric Media,
3.82.80.110,centralshenandoahnews.com,VA,38.49,-78.63,0,200,53665,https://www.facebook.com/Central-Shenandoah-News-102028144809777,Central Shenandoah News,,,,,,,,Metric Media,
3.82.80.110,centralvatimes.com,VA,37.43,-78.66,0,200,-1,https://www.facebook.com/Central-Virginia-Times-108724174131642,Central Virginia Times,,,,,,,,Metric Media,
34.236.176.60,chapelhillreview.com,NC,35.91,-79.06,0,200,80214,https://www.facebook.com/Chapel-Hill-Review-103130714424239/,Chapel Hill Review,,,,,,,,Metric Media,
34.236.176.60,charlestonleader.com,WV,38.35,-81.63,0,200,51161,https://www.facebook.com/Charleston-Leader-103956401274566/,Charleston Leader,,,,,,,,Metric Media,
3.82.80.110,charlestonreporter.com,SC,32.78,-79.93,0,200,48524,https://www.facebook.com/Charleston-Reporter-105365254476584/,Charleston Reporter,,,,,,,,Metric Media,
34.236.176.60,claycotimes.com,FL,29.99,-81.78,0,200,74561,https://www.facebook.com/Clay-County-Times-106123364281618/,Clay County Times,,,,,,,,Metric Media,
34.236.176.60,coastalganews.com,GA,31.18,-81.48,0,200,57475,https://www.facebook.com/Coastal-GA-News-108954537443007/,Coastal GA News,,,,,,,,Metric Media,
3.82.80.110,cobbreporter.com,GA,31.96,-83.99,0,200,58119,https://www.facebook.com/Cobb-Reporter-110948027240639/,Cobb Reporter,,,,,,,,Metric Media,
3.82.80.110,columbiastandard.com,SC,34,-81.03,0,200,54976,https://www.facebook.com/Columbia-Standard-102424441441634/,Columbia Standard,,,,,,,,Metric Media,
3.82.80.110,dekalbganews.com,GA,33.8,-84.23,0,200,-1,https://www.facebook.com/DeKalb-GA-News-100512124966656/,DeKalb GA News,,,,,,,,Metric Media,
34.236.176.60,dorchestertoday.com,SC,33.17,-80.54,0,200,52378,https://www.facebook.com/Dorchester-Today-112516217085993/,Dorchester Today,,,,,,,,Metric Media,
34.236.176.60,durhamreporter.com,NC,35.99,-78.9,0,200,79624,https://www.facebook.com/Durham-Reporter-118375432886638/,Durham Reporter,,,,,,,,Metric Media,
3.82.80.110,duvaltimes.com,FL,30.35,-81.6,0,200,78321,https://www.facebook.com/Duval-Times-112753486943347/,Duval Times,,,,,,,,Metric Media,
34.236.176.60,easternshoretimes.com,VA,37.54,-75.82,0,200,56607,https://www.facebook.com/Eastern-Shore-Times-111143607216255/,Eastern Shore Times,,,,,,,,Metric Media,
3.82.80.110,easthillsboroughnews.com,FL,27.99,-82.3,0,200,75776,https://www.facebook.com/East-Hillsborough-News-101123594786610/,East Hillsborough News,,,,,,,,Metric Media,
3.82.80.110,eastlakenormannews.com,NC,35.5,-80.92,0,200,80461,https://www.facebook.com/East-Lake-Norman-News-105190370881365/,East Lake Norman News,,,,,,,,Metric Media,
3.82.80.110,eastpanhandlenews.com,FL,30.42,-87.22,0,200,71406,https://www.facebook.com/East-Panhandle-News-114687670081048/?ref=br_rs,East Panhandle News,,,,,,,,Metric Media,
3.82.80.110,eastpanhandletimes.com,WV,39.33,-78.57,0,200,48017,https://www.facebook.com/East-Panhandle-Times-102354618103484/,East Panhandle Times,,,,,,,,Metric Media,
34.236.176.60,eastvolusianews.com,FL,29.03,-81.08,0,200,75699,https://www.facebook.com/East-Volusia-News-100860664813994/\,East Volusia News,,,,,,,,Metric Media,
3.82.80.110,eastwaketimes.com,NC,35.8,-78.57,0,200,79687,https://www.facebook.com/East-Wake-Times-109459453784640/,East Wake Times,,,,,,,,Metric Media,
34.236.176.60,ecgeorgianews.com,GA,32.17,-82.9,0,200,-1,https://www.facebook.com/EC-Georgia-News-103710314641212/,EC Georgia News,,,,,,,,Metric Media,
