City of license / Market,Station,Channel TV (RF),Year acquired,.1 affiliation,.2 affiliation,.3 affiliation,.4 affiliation,Operator,Coordinates
"Birmingham - Tuscaloosa - Anniston, AL",WTTO,21 (28),1995,The CW,Antenna TV,Comet,TBD,Sinclair Broadcast Group,"33.64916,-85.879642"
"Birmingham - Tuscaloosa - Anniston, AL",WABM,68 (36),2001,MyNetworkTV,ABC,weather,,Sinclair Broadcast Group,"33.64916,-85.879642"
"Birmingham - Tuscaloosa - Anniston, AL",WDBB[a],17 (18),1995,The CW,ABC,,,Sinclair Broadcast Group,"33.64916,-85.879642"
"Birmingham - Tuscaloosa - Anniston, AL",(Satellite of WTTO),,,,(WBMA-LD simulcast),,,Sinclair Broadcast Group,"33.64916,-85.879642"
"Birmingham - Tuscaloosa - Anniston, AL",WBMA-LD[b],58 (40),2014,ABC,weather,Stadium,Charge!,Sinclair Broadcast Group,"33.64916,-85.879642"
"Mobile, AL & Pensacola, FL",WEAR-TV,3 (17),1997,ABC,TBD,Charge!,,Sinclair Broadcast Group,"28.579441,-81.977025"
"Mobile, AL & Pensacola, FL",WPMI-TV[c][d],15 (15),2012,NBC,WeatherNation TV,Stadium,,Sinclair Broadcast Group,"28.579441,-81.977025"
"Mobile, AL & Pensacola, FL",WFGX,35 (50),2001,MyNetworkTV & This TV,GetTV,Comet,,Sinclair Broadcast Group,"28.579441,-81.977025"
"Mobile, AL & Pensacola, FL",WJTC[c][d],44 (45),2012,Independent,Grit,,,Sinclair Broadcast Group,"28.579441,-81.977025"
"Little Rock, AR",KATV[b],7 (22),2014,ABC,Comet,Charge!,TBD,Sinclair Broadcast Group,"34.746905,-92.280049"
"Bakersfield, CA",KBAK-TV[e],29 (33),2013,CBS,Charge!,Fox,,Sinclair Broadcast Group,"35.384337,-119.020562"
"Bakersfield, CA",KBFX-CD[e],58 (29),2013,Fox,TBD,Comet,Stadium,Sinclair Broadcast Group,"35.384337,-119.020562"
"Chico, CA - Redding, CA",KRCR-TV[f],7 (7),2017,ABC,MeTV,Movies!,,Sinclair Broadcast Group,"40.600342,-122.455016"
"Chico, CA - Redding, CA",KXVU-LP[f],17,2017,Antenna TV,,,,Sinclair Broadcast Group,"40.600342,-122.455016"
"Chico, CA - Redding, CA",KCVU[a][f],20 (20),2017,Fox,Comet,Charge!,Stadium,Sinclair Broadcast Group,"40.600342,-122.455016"
"Chico, CA - Redding, CA",KRVU-LD[f],21 (21),2017,MyNetworkTV,,,,Sinclair Broadcast Group,"40.600342,-122.455016"
"Chico, CA - Redding, CA",KZVU-LD[f],22 (22),,,,,,Sinclair Broadcast Group,"40.600342,-122.455016"
"Chico, CA - Redding, CA",(Satellite of KRVU-LD),,,,,,,Sinclair Broadcast Group,"40.600342,-122.455016"
"Chico, CA - Redding, CA",KUCO-LD[f],27 (27),2017,Univision,,,,Sinclair Broadcast Group,"40.600342,-122.455016"
"Chico, CA - Redding, CA",KKTF-LD[f],30 (30),2017,UniMás,,,,Sinclair Broadcast Group,"40.600342,-122.455016"
"Eureka, California & Arcata, CA",KAEF-TV[f],23 (22),2017,ABC,MeTV,Movies!,,Sinclair Broadcast Group,"40.798802,-124.15192"
"Eureka, California & Arcata, CA",(Semi-satellite of KRCR),,,,,,,Sinclair Broadcast Group,"40.798802,-124.15192"
"Eureka, California & Arcata, CA",KBVU [a][f],28 (28),2017,Fox,Cozi TV,,,Sinclair Broadcast Group,"40.798802,-124.15192"
"Eureka, California & Arcata, CA",(Semi-satellite of KCVU),,,,,,,Sinclair Broadcast Group,"40.798802,-124.15192"
"Eureka, California & Arcata, CA",KECA-LD[f],29 (29),2017,CW+,MyNetworkTV,,,Sinclair Broadcast Group,"40.798802,-124.15192"
"Eureka, California & Arcata, CA",KEUV-LP[f],31,2017,Univision,,,,Sinclair Broadcast Group,"40.798802,-124.15192"
"Fresno & Visalia, CA",KMPH-TV,26 (28),2013,Fox,This TV,Comet,Stadium,Sinclair Broadcast Group,"37.155177,-119.543418"
"Fresno & Visalia, CA",KFRE-TV,59 (36),2013,The CW,Charge!,TBD,,Sinclair Broadcast Group,"37.155177,-119.543418"
"Washington, DC",WJLA-TV[b],7 (7),2014,ABC,Charge!,Comet,TBD,Sinclair Broadcast Group,"38.911936,-77.016719"
"Fort Pierce & West Palm Beach, FL",WPEC[g],12 (13),2012,CBS,WeatherNation TV,Comet,,Sinclair Broadcast Group,"26.600995,-80.038113"
"Fort Pierce & West Palm Beach, FL",WTVX[h],34 (34),2012,The CW,Azteca América,MyNetworkTV,,Sinclair Broadcast Group,"26.600995,-80.038113"
"Fort Pierce & West Palm Beach, FL",WTCN-CD[h],43 (34.3),2012,MyNetworkTV,Antenna TV,TBD,,Sinclair Broadcast Group,"26.600995,-80.038113"
"Fort Pierce & West Palm Beach, FL",WWHB-CD[h],48 (34.2),2012,Azteca América,Charge!,,,Sinclair Broadcast Group,"26.600995,-80.038113"
"Gainesville & High Springs, FL",WGFL[i],28 (28),2014,CBS,MyNetworkTV,TBD,,Sinclair Broadcast Group,"28.468477,-82.595728"
"Gainesville & High Springs, FL",WNBW-DT[i],9 (9),2014,NBC,Charge!,Comet,Antenna TV,Sinclair Broadcast Group,"28.468477,-82.595728"
"Gainesville & High Springs, FL",WYME-CD[i],45 (45),2014,Antenna TV,,,,Sinclair Broadcast Group,"28.468477,-82.595728"
"Tallahassee, FL & Thomasville, GA",WTWC-TV[j],40 (40),1998,NBC,Fox,Charge!,,Sinclair Broadcast Group,"0,0"
"Tallahassee, FL & Thomasville, GA",WTLH[i],49 (50),2014,Heroes & Icons,CW+,Comet,,Sinclair Broadcast Group,"0,0"
"Tallahassee, FL & Thomasville, GA",WBFL-CD,13 (13),,,(WTLF simulcast),,,Sinclair Broadcast Group,"0,0"
"Tallahassee, FL & Thomasville, GA",(Satellite of WTLH),,,,,,,Sinclair Broadcast Group,"0,0"
"Tallahassee, FL & Thomasville, GA",WBVJ-CD,35 (35),,,,,,Sinclair Broadcast Group,"0,0"
"Tallahassee, FL & Thomasville, GA",(Satellite of WTLH),,,,,,,Sinclair Broadcast Group,"0,0"
"Tallahassee, FL & Thomasville, GA",WTLF[i],24 (24),2014,CW+,Comet,TBD,,Sinclair Broadcast Group,"0,0"
"Albany, GA",WFXL[k],31 (12),2013,Fox,TBD,Comet,Charge!,Sinclair Broadcast Group,"31.560674,-84.176751"
"Macon, GA",WGXA,24 (16),2014,Fox,ABC,Comet,,Sinclair Broadcast Group,"32.804382,-83.617554"
Cedar Rapids - Waterloo -,KGAN[j],2 (29),1998,CBS,GetTV,Comet,,Sinclair Broadcast Group,"42.892556,-76.882263"
"Dubuque - Iowa City, IA",KFXA,28 (27),[l],Fox,Charge!,TBD,Stadium,Sinclair Broadcast Group,"41.634209,-91.49905"
"Des Moines, IA",KDSM-TV[m],17 (16),1997,Fox,Comet,Charge!,TBD,Sinclair Broadcast Group,"41.672687,-93.572173"
"Sioux City, IA",KPTH,44 (30),2013,Fox,MyNetworkTV & This TV,Charge!,Stadium,Sinclair Broadcast Group,"42.494745,-96.399356"
"Sioux City, IA",KMEG,14 (32),[l],CBS,TBD,Comet,,Sinclair Broadcast Group,"42.494745,-96.399356"
"Boise, ID",KBOI-TV[e],2 (9),2013,CBS,CW+,Charge!,,Sinclair Broadcast Group,"43.603768,-116.272921"
"Boise, ID",KYUU-LD[e],35 (28),2013,CW+,TBD,Comet,Stadium,Sinclair Broadcast Group,"43.603768,-116.272921"
"Lewiston, ID",KLEW-TV[e],3 (32),2013,CBS,Charge!,Comet,,Sinclair Broadcast Group,"46.3646,-116.860852"
"Lewiston, ID",(Semi-satellite of KIMA-TV),,,,,,,Sinclair Broadcast Group,"46.3646,-116.860852"
Champaign - Urbana -,WICS[j],20 (42),1998,ABC,Comet,TBD,Charge!,Sinclair Broadcast Group,"39.443551,-77.33294"
"Decatur - Springfield, IL",WICD[j],15 (41),1998,ABC,Comet,TBD,Charge!,Sinclair Broadcast Group,"39.800698,-89.648801"
"Decatur - Springfield, IL",(Satellite of WICS),,,,,,,Sinclair Broadcast Group,"39.800698,-89.648801"
"Decatur - Springfield, IL",WRSP-TV,55 (44),[l],Fox,MeTV,Antenna TV,,Sinclair Broadcast Group,"39.800698,-89.648801"
"Decatur - Springfield, IL",WCCU,27 (26),,,,,,Sinclair Broadcast Group,"39.800698,-89.648801"
"Decatur - Springfield, IL",WBUI,22 (23),[l],The CW,This TV,Stadium,,Sinclair Broadcast Group,"39.800698,-89.648801"
"Peoria & Bloomington, IL",WHOI[k],19 (19),2013,Comet,,,,Sinclair Broadcast Group,"40.102875,-89.152611"
"Peoria & Bloomington, IL",WYZZ-TV[a][n],43 (28),1996,Fox,GetTV,,,Sinclair Broadcast Group,"40.102875,-89.152611"
"South Bend, IN",WSBT-TV,22 (22),2016,CBS,Fox,,,Sinclair Broadcast Group,"41.673383,-86.251654"
"Wichita, KS",KSAS-TV[c],24 (26),2012,Fox,TBD,Comet,,Sinclair Broadcast Group,"37.651974,-97.258997"
"Wichita, KS",KAAS-TV[c],17 (17),,,,,,Sinclair Broadcast Group,"37.651974,-97.258997"
"Wichita, KS",KOCW[c],17 (14),,,,,,Sinclair Broadcast Group,"37.651974,-97.258997"
"Wichita, KS",KMTW[c],36 (35),[l],MyNetworkTV,Stadium,,,Sinclair Broadcast Group,"37.651974,-97.258997"
"Danville - Lexington, KY",WDKY-TV,56 (31),2001,Fox,Comet,Charge!,TBD,Sinclair Broadcast Group,"38.037847,-84.61645"
"Portland, ME",WGME-TV[j],13 (38),1998,CBS,TBD,Stadium,,Sinclair Broadcast Group,"43.658784,-70.262393"
"Portland, ME",WPFO,23 (23),[o],Fox,Charge!,Comet,,Sinclair Broadcast Group,"43.658784,-70.262393"
"Baltimore, MD",WBFF[p],45 (46),1971,Fox,MyNetworkTV,TBD,Stadium,Sinclair Broadcast Group,"39.296536,-76.623489"
"Baltimore, MD",WNUV[a],54 (40),1994,The CW,Antenna TV,Comet,Charge!,Sinclair Broadcast Group,"39.296536,-76.623489"
"Baltimore, MD",WUTB[d],24 (46),2013,MyNetworkTV,,,,Sinclair Broadcast Group,"39.296536,-76.623489"
"Flint - Saginaw - Bay City, MI",WEYI-TV[k][q],25 (30),2013,NBC,The CW,TBD,,Sinclair Broadcast Group,"43.608773,-83.953007"
"Flint - Saginaw - Bay City, MI",WBSF[k][a],46 (46),2013,The CW,NBC,Charge!,,Sinclair Broadcast Group,"43.608773,-83.953007"
"Flint - Saginaw - Bay City, MI",WSMH,66 (16),1996,Fox,Antenna TV,Comet,Stadium,Sinclair Broadcast Group,"43.608773,-83.953007"
"Kalamazoo & Grand Rapids, MI",WWMT[g],3 (8),2012,CBS,The CW,Comet,,Sinclair Broadcast Group,"0,0"
"Traverse City - Cadillac, MI",WPBN-TV[k],7 (47),2013,NBC,ABC,Comet,,Sinclair Broadcast Group,"44.335278,-85.549093"
"Cheboygan - Sault Ste. Marie, MI",WTOM-TV[k],4 (35),,,(WGTU/WGTQ simulcast),,,Sinclair Broadcast Group,"43.046851,-84.900482"
"Cheboygan - Sault Ste. Marie, MI",(Satellite of WPBN-TV),,,,,,,Sinclair Broadcast Group,"43.046851,-84.900482"
"Cheboygan - Sault Ste. Marie, MI",WGTU[k][a],29 (29),2013,ABC,NBC,,,Sinclair Broadcast Group,"43.046851,-84.900482"
"Cheboygan - Sault Ste. Marie, MI",WGTQ[k][a],8 (8),,,(WPBN-TV/WTOM-TV simulcast),,,Sinclair Broadcast Group,"43.046851,-84.900482"
"Cheboygan - Sault Ste. Marie, MI",(Satellite of WGTU),,,,,,,Sinclair Broadcast Group,"43.046851,-84.900482"
"Minneapolis & St. Paul, MN",WUCW,23 (22),1998,The CW,Comet,Charge!,TBD,Sinclair Broadcast Group,"47.415205,-92.259625"
"Cape Girardeau, MO - Paducah, KY -",KBSI,23 (22),1998,Fox,MyNetworkTV,Comet,,Sinclair Broadcast Group,"34.02174,-100.298633"
"Harrisburg, IL",WDKA,49 (49),[l],MyNetworkTV,Charge!,TBD,Stadium,Sinclair Broadcast Group,"37.720129,-88.536736"
"Columbia - Jefferson City, MO",KRCG[k],13 (12),2013,CBS,Comet,Charge!,TBD,Sinclair Broadcast Group,"38.494029,-92.165194"
"Hannibal, MO - Quincy, IL",KHQA-TV[k],7 (7),2013,CBS,ABC,Comet,,Sinclair Broadcast Group,"39.931138,-91.385695"
"Kirksville, MO - Ottumwa, IA",KTVO[k],3 (33),2013,ABC,CBS,Comet,,Sinclair Broadcast Group,"41.030933,-92.409827"
"St. Louis, MO",KDNL-TV[m],30 (31),1997,ABC,TBD,Charge!,Stadium,Sinclair Broadcast Group,"38.631501,-90.19231"
"Missoula, MT",KECI-TV[f],13 (13),2017,NBC,MeTV,Movies!,,Sinclair Broadcast Group,"46.856398,-114.014338"
"Kalispell, MT",KCFW-TV[f],9 (9),,,,,,Sinclair Broadcast Group,"48.202765,-114.303919"
"Kalispell, MT",(Semi-satellite of KECI),,,,,,,Sinclair Broadcast Group,"48.202765,-114.303919"
"Butte, MT",KTVM-TV[f],6 (6),,,,,,Sinclair Broadcast Group,"45.997895,-112.598765"
"Butte, MT",(Semi-satellite of KECI),,,,,,,Sinclair Broadcast Group,"45.997895,-112.598765"
"Bozeman, MT",KDBZ-CD[f],42 (42),,,,,,Sinclair Broadcast Group,"45.82641,-110.898799"
"Bozeman, MT",(Satellite of KTVM),,,,,,,Sinclair Broadcast Group,"45.82641,-110.898799"
"Kearney - Hastings, NE",KHGI-TV,13 (13),2016,ABC,Fox,TBD,,Sinclair Broadcast Group,"40.582425,-98.389035"
"Hayes Center, NE",KWNB-TV,6 (6),,,(KFXL-TV simulcast),,,Sinclair Broadcast Group,"40.524819,-101.061328"
"Hayes Center, NE",(Satellite of KHGI-TV),,,,,,,Sinclair Broadcast Group,"40.524819,-101.061328"
"Lincoln, NE",KFXL-TV,51 (51),2016,Fox,,,,Sinclair Broadcast Group,"40.865142,-96.823133"
"North Platte, NE",KHGI-CD,13 (13),2016,ABC,,,,Sinclair Broadcast Group,"41.102555,-100.74907"
"North Platte, NE",(Satellite of KHGI-TV),,,,,,,Sinclair Broadcast Group,"41.102555,-100.74907"
"Omaha, NE",KPTM,42 (43),2013,Fox,MyNetworkTV & This TV,Comet,,Sinclair Broadcast Group,"41.291736,-96.171104"
"Omaha, NE",KXVO,15 (29),[l],The CW,TBD,Charge!,Stadium,Sinclair Broadcast Group,"41.291736,-96.171104"
"Elko, NV",KENV-DT,10 (10),[r],Comet,,,,Sinclair Broadcast Group,"40.905583,-115.534429"
"Las Vegas, NV",KSNV,3 (22),1997,NBC,Estrella TV,Charge!,Stadium,Sinclair Broadcast Group,"36.17372,-115.10647"
"Las Vegas, NV",KVCW,33 (29),2000,The CW,MyNetworkTV,TBD,This TV,Sinclair Broadcast Group,"36.17372,-115.10647"
"Reno, NV",KRNV-DT,4 (7),[r],NBC,This TV,TBD,,Sinclair Broadcast Group,"39.525749,-119.813051"
"Reno, NV",KRXI-TV,11 (44),2013,Fox,Charge!,Antenna TV,,Sinclair Broadcast Group,"39.525749,-119.813051"
"Reno, NV",KNSN-TV[d],21 (20),2013,Independent & MyNetworkTV (secondary),Stadium,Comet,,Sinclair Broadcast Group,"39.525749,-119.813051"
"Buffalo, NY",WUTV[s],29 (14),1996,Fox,TBD,Charge!,,Sinclair Broadcast Group,"42.89606,-78.886424"
"Buffalo, NY",WNYO-TV,49 (49),2001,MyNetworkTV,Stadium,Comet,GetTV,Sinclair Broadcast Group,"42.89606,-78.886424"
"Rochester, NY",WHAM-TV[c][d],13 (13),2013,ABC,The CW,Charge!,,Sinclair Broadcast Group,"43.286024,-77.684264"
"Rochester, NY",WUHF[s],31 (28),1995,Fox,Antenna TV,Comet,TBD,Sinclair Broadcast Group,"43.286024,-77.684264"
"Schenectady - Albany - Troy, NY",WRGB[g],6 (6),2012,CBS,TBD,Comet,,Sinclair Broadcast Group,"42.71144,-73.525561"
"Schenectady - Albany - Troy, NY",WCWN[g],45 (43),2012,The CW,Charge!,CBS,Stadium,Sinclair Broadcast Group,"42.71144,-73.525561"
"Syracuse, NY",WSTM-TV[k],3 (24),2013,NBC,The CW,Comet,,Sinclair Broadcast Group,"43.02143,-76.197701"
"Syracuse, NY",WTVH,5 (47),[t],CBS,Charge!,TBD,,Sinclair Broadcast Group,"43.02143,-76.197701"
"Syracuse, NY",WSTQ-LP[k],14 (3.2),2013,The CW,,,,Sinclair Broadcast Group,"43.02143,-76.197701"
"Asheville, NC",WLOS[m],13 (13),1997,ABC,MyNetworkTV,Antenna TV,Stadium,Sinclair Broadcast Group,"35.602711,-82.567281"
"Greenville, SC & Spartanburg, SC",WMYA-TV[m][a],40 (14),1997,MyNetworkTV,Comet,TBD,Charge!,Sinclair Broadcast Group,"34.848567,-82.402871"
"Greenville - New Bern - Morehead City, NC",WYDO[a][f],14 (47),2017,Fox,Bounce TV,Charge!,Stadium,Sinclair Broadcast Group,"34.727798,-76.770987"
"Greenville - New Bern - Morehead City, NC",WCTI-TV[f],12 (12),2017,ABC,Comet,Movies!,TBD,Sinclair Broadcast Group,"34.727798,-76.770987"
"Raleigh - Durham, NC",WLFL,22 (27),1994,The CW,Stadium,TBD,Antenna TV,Sinclair Broadcast Group,"35.910001,-79.032309"
"Raleigh - Durham, NC",WRDC,28 (28),1995,MyNetworkTV,Charge!,Comet,,Sinclair Broadcast Group,"35.910001,-79.032309"
"Winston-Salem - Greensboro - High Point, NC",WXLV-TV[s],45 (29),1996,ABC,Stadium,Charge!,TBD,Sinclair Broadcast Group,"35.995141,-80.026244"
"Winston-Salem - Greensboro - High Point, NC",WMYV,48 (33),2001,MyNetworkTV,GetTV,Comet,,Sinclair Broadcast Group,"35.995141,-80.026244"
"Cincinnati, OH",WKRC-TV[c],12 (12),2012,CBS,The CW,Stadium,,Sinclair Broadcast Group,"39.166759,-84.53822"
"Cincinnati, OH",WSTR-TV[l],64 (33),1995,MyNetworkTV,Antenna TV,Comet,TBD,Sinclair Broadcast Group,"39.166759,-84.53822"
"Columbus & Chillicothe, OH",WSYX[m],6 (48),1997,ABC,MyNetworkTV & This TV,Antenna TV,,Sinclair Broadcast Group,"40.41493,-82.711998"
"Columbus & Chillicothe, OH",WTTE[p][a],28 (36),1996,Fox,TBD,Stadium,,Sinclair Broadcast Group,"40.41493,-82.711998"
"Columbus & Chillicothe, OH",WWHO[u],53 (46),2011,The CW,Charge!,Comet,,Sinclair Broadcast Group,"40.41493,-82.711998"
"Dayton, OH",WKEF,22 (51),1998,ABC,Stadium,Antenna TV,TBD,Sinclair Broadcast Group,"39.750471,-84.268593"
"Dayton, OH",WRGT-TV[s][a],45 (30),2001,Fox,MyNetworkTV & This TV,Comet,Charge!,Sinclair Broadcast Group,"39.750471,-84.268593"
"Steubenville, OH & Wheeling, WV",WTOV-TV,9 (9),2013,NBC,Fox,MeTV,,Sinclair Broadcast Group,"0,0"
"Toledo, OH",WNWO-TV[k],24 (49),2013,NBC,Stadium,Comet,TBD,Sinclair Broadcast Group,"41.720684,-83.569359"
"Oklahoma City, OK",KOKH-TV,25 (24),2003,Fox,Charge!,Stadium,,Sinclair Broadcast Group,"35.491608,-97.562817"
"Oklahoma City, OK",KOCB,34 (33),1996,The CW,TBD,Comet,,Sinclair Broadcast Group,"35.491608,-97.562817"
"Tulsa, OK",KTUL[b],8 (10),2014,ABC,Comet,Antenna TV,TBD,Sinclair Broadcast Group,"36.039147,-95.868667"
"Eugene, OR",KVAL-TV[e],13 (25),2013,CBS,TBD,Charge!,,Sinclair Broadcast Group,"44.067988,-123.080181"
"Coos Bay, OR",KCBY-TV[e],11 (21),,,,,,Sinclair Broadcast Group,"43.215143,-124.198358"
"Roseburg, OR",(Satellite of KVAL-TV),,,,,,,Sinclair Broadcast Group,"43.2165,-123.34174"
"Roseburg, OR",KPIC[e][v],4 (19),,,,,,Sinclair Broadcast Group,"43.2165,-123.34174"
"Roseburg, OR",(Satellite of KVAL-TV),,,,,,,Sinclair Broadcast Group,"43.2165,-123.34174"
"Roseburg, OR",KMTR[e],16 (17),[l],NBC,CW+,Comet,,Sinclair Broadcast Group,"43.2165,-123.34174"
"Roseburg, OR",KMCB[e],23 (22),,,,,,Sinclair Broadcast Group,"43.2165,-123.34174"
"Roseburg, OR",(Satellite of KMTR),,,,,,,Sinclair Broadcast Group,"43.2165,-123.34174"
"Roseburg, OR",KTCW[e],46 (45),,,,,,Sinclair Broadcast Group,"43.2165,-123.34174"
"Roseburg, OR",(Satellite of KMTR),,,,,,,Sinclair Broadcast Group,"43.2165,-123.34174"
"Medford, OR",KTVL[g],10 (10),2012,CBS,CW+,Comet,TBD,Sinclair Broadcast Group,"42.265974,-122.900832"
"Portland, OR",KATU[e],2 (43),2013,ABC,MeTV,Comet,Stadium,Sinclair Broadcast Group,"45.507856,-122.690794"
"Portland, OR",KUNP[e],16 (16),2013,Univision,TBD,Charge!,,Sinclair Broadcast Group,"45.507856,-122.690794"
"Harrisburg - Lancaster - Lebanon - York, PA",WHP-TV[c],21 (21),2012,CBS,MyNetworkTV,The CW,,Sinclair Broadcast Group,"39.962998,-76.727139"
"Johnstown & Altoona, PA",WJAC-TV,6 (34),2013,NBC,MeTV,Comet,CW+,Sinclair Broadcast Group,"40.902496,-77.833451"
"Johnstown & Altoona, PA",WWCP-TV[w],8 (8),2016,Fox,ABC,,,Sinclair Broadcast Group,"40.902496,-77.833451"
"Johnstown & Altoona, PA",WATM-TV[w],23 (24),2016,ABC,Fox,This TV,Antenna TV,Sinclair Broadcast Group,"40.902496,-77.833451"
"Pittsburgh, PA",WPGH-TV,53 (43),1991,Fox,Antenna TV,Charge!,,Sinclair Broadcast Group,"40.47441,-79.950968"
"Pittsburgh, PA",WPNT[p],22 (42),2000[x],MyNetworkTV,Stadium,Comet,TBD,Sinclair Broadcast Group,"40.47441,-79.950968"
"Scranton - Wilkes-Barre, PA",WOLF-TV[i],56 (45),2014,Fox,The CW,MyNetworkTV,,Sinclair Broadcast Group,"41.272248,-75.880146"
"Scranton - Wilkes-Barre, PA",WQMY[i],53 (29),2014,MyNetworkTV,Fox,The CW,,Sinclair Broadcast Group,"41.272248,-75.880146"
"Scranton - Wilkes-Barre, PA",WSWB[i],38 (31),2014,The CW,MeTV,Comet,Stadium,Sinclair Broadcast Group,"41.272248,-75.880146"
"Providence, RI & New Bedford, MA",WJAR,10 (50),2014,NBC,MeTV,Comet,TBD,Sinclair Broadcast Group,"42.49065,-71.27617"
"Charleston, SC",WTAT-TV[s][a],24 (24),1995,Fox,Justice Network,Comet,,Sinclair Broadcast Group,"32.780326,-79.940844"
"Charleston, SC",WCIV,36 (36),1998,MyNetworkTV,ABC,MeTV,,Sinclair Broadcast Group,"32.780326,-79.940844"
"Columbia, SC",WACH[k],57 (48),2013,Fox,Stadium,Comet,TBD,Sinclair Broadcast Group,"33.987454,-81.024864"
"Florence & Myrtle Beach, SC",WPDE-TV[k],15 (16),2013,ABC,weather,Comet,TBD,Sinclair Broadcast Group,"0,0"
"Florence & Myrtle Beach, SC",WWMB[q],21 (21),2013,The CW,CW+,Stadium,Charge,Sinclair Broadcast Group,"0,0"
"Hardeeville, SC & Savannah, GA",WTGS,28 (28),2014,Fox,Comet,Antenna TV,TBD,Sinclair Broadcast Group,"34.28065,-84.236031"
"Chattanooga, TN",WTVC[g],9 (9),2012,ABC,Fox,TBD,,Sinclair Broadcast Group,"35.017818,-85.206426"
"Chattanooga, TN",WDSI-TV[i],61 (40),2015,This TV,Comet,,,Sinclair Broadcast Group,"35.017818,-85.206426"
"Chattanooga, TN",WFLI-TV[i],53 (42),2015,The CW,MyNetworkTV,MeTV,Charge!,Sinclair Broadcast Group,"35.017818,-85.206426"
"Nashville, TN",WZTV,17 (15),1994,Fox,TBD,Antenna TV,,Sinclair Broadcast Group,"36.165688,-86.778098"
"Nashville, TN",WUXP,30 (21),2000,MyNetworkTV,GetTV,Comet,,Sinclair Broadcast Group,"36.165688,-86.778098"
"Nashville, TN",WNAB,58 (23),[y],The CW,Stadium,Charge!,,Sinclair Broadcast Group,"36.165688,-86.778098"
"Abilene, TX",KTXS-TV[f],12 (12),2017,ABC,CW+,MeTV,,Sinclair Broadcast Group,"32.576489,-99.665323"
"Abilene, TX",KTES-LD[f],40 (40),2017,MeTV,,,,Sinclair Broadcast Group,"32.576489,-99.665323"
"Amarillo, TX & Clovis, NM",KVII-TV[k],7 (7),2013,ABC,CW+,Comet,Stadium,Sinclair Broadcast Group,"0,0"
"Amarillo, TX & Clovis, NM",KVIH-TV[k],12 (12),,,,,,Sinclair Broadcast Group,"0,0"
"Amarillo, TX & Clovis, NM",(Satellite of KVII-TV),,,,,,,Sinclair Broadcast Group,"0,0"
"Austin, TX",KEYE-TV[h],42 (43),2012,CBS,Telemundo,,,Sinclair Broadcast Group,"30.326374,-97.771258"
"Beaumont & Port Arthur, TX",KBTV-TV[d],4 (40),2012,Fox,TBD,Comet,,Sinclair Broadcast Group,"0,0"
"Beaumont & Port Arthur, TX",KFDM[g],6 (15),2012,CBS,CW+,Charge!,,Sinclair Broadcast Group,"0,0"
"Corpus Christi, TX",KSCC,38 (38),2016,Fox,TBD,MyNetworkTV,,Sinclair Broadcast Group,"27.797802,-97.399067"
"El Paso, TX",KDBC-TV,4 (18),2013,CBS,"MyNetworkTV, TBD & Stadium",MeTV,,Sinclair Broadcast Group,"31.763608,-106.484592"
"Las Cruces, NM",KFOX-TV,14 (15),2013,Fox,Comet,Charge!,Stadium,Sinclair Broadcast Group,"32.290052,-106.753893"
"Harlingen, TX & the Rio Grande Valley",KGBT-TV[k],4 (31),2013,CBS,Azteca America,Comet,,Sinclair Broadcast Group,"41.72117,-79.53755"
"San Angelo, TX",KTXE-LD[f],38 (38),2017,ABC,CW+,MeTV,,Sinclair Broadcast Group,"31.44451,-100.533397"
"San Angelo, TX",(Satellite of KTXS),,,,,(KTES-LD simulcast),,Sinclair Broadcast Group,"31.44451,-100.533397"
"San Antonio – Kerrville, TX",KMYS[d],35 (32),2001,The CW,Stadium,,,Sinclair Broadcast Group,"31.434703,-99.281824"
