user_reported_location,follower_count,following_count,account_creation_date,account_language,user_display_name,user_screen_name,userid,user_profile_description,user_profile_url
African ,1771,1829,7/17/2019,en,,,jfHc+PR1RAcWZbVeokGvHkppdJhVd1URHnz981PHHVc=,"African my pride. 
Power To The People 💪🏾💪🏿",
,60,76,7/8/2019,en,,,BQSd6HG5pCEX3Vbw28UJIbW6cDXtu4bgejnAfZmnlKc=,"Racism springs from Ignorance 
Say No To Racism.",
,0,25,8/26/2019,en,,,wIC9Jo2WdkBTapeMXo6zeX57hvpxs4IJqQU0OMJfvM=,,
"Accra, Ghana",4584,4641,7/13/2019,en,,,MrAqJYr2xk9TuxpWT7HvbRTiH02zJ4i4RKeWaGP+31A=,"Black woman passionate about my root 
#BlackLivesMatter #PoliceBrutality #Racism #RacialProfiling #AllLivesMatter #RacialEquality",
Ghana,98,186,7/5/2019,en,,,a735pdxuZ9tyTJOsgpvGWXKU+BZj9UXhjmXRtvPKi0=,I stand for truth and project the image of humanity.,
,1811,4354,7/16/2019,en,,,jABJdRs3DsnvqL1EboMltuFxbycEVwNGySXzeIKcv4=,"Campaigning To End All Forms Of Violence Against Women❗
Sharing Stories And Solutions To Improve Life For Women x Girls👭
Equality For All",
somewhere in The World,6,127,7/27/2019,en,,,aRM5dH4TX8EPW5RUf0UsslawRqL4O9hnfbdDhO8sY=,man utd Glory Glory Music Art Lifestyle. You Dream I Act,
Everywhere ,1251,1168,9/1/2019,en,,,PvMtU8hSwydfwGdw7yuVC5yBPXjIE7+pZi0m0X7UtQ=,"We are creating awareness to eliminate barriers affecting the rights of Queer( Lesbians, bisexuals and Trans)Women through Social Media activism Globally.",
,13,71,2/11/2020,en,,,Mb41Eha8m3pQ2Wjmdzm1Jh+jitjvaTD7gtoyGH3bDTM=,Beauty in Africans,
,66,112,8/27/2019,en,,,pWAgwQT6pZlN8cd5rhH17NF9SMU3t1oqVJiTxTjCrM=,Passionate about my black roots,
"Florida, USA",9345,9486,6/28/2019,en,Police Brutality🚫,AfricaMustWake,1.14459E+18,"Platform For #BLM #Racism #PoliceBrutality Commentary And Analysis // Unapologetically Black//
Help The Needy🙏",
"Massachusetts, USA",662,1762,11/2/2019,en,,,GAtpRdk7zq6poUyDNbGDhEyWz8iSeIU5QqX6nubYu+s=,"Law enforcement bodies enforce laws and not to break laws. Irrespective of the cause of arrest, black rights must still be respected.",
,2,21,8/21/2019,en,,,3I3kCATdWs6T7CKJ1OhiNq0z4RgDkmFWUbwfnAOEY=,The endless and selfless fight for the welfare and interest of the black community runs through viens and spins. An end to race is an end to humanity.,
