"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"468721219","MineBoxRadio","MinBoxRadio","France FR","On était numéro 1","https://t.co/mG5MdTEZqB","7902","42","2012-01-19","zh-cn"
"C8cp1IDehsmz154vWiwsVd+cpDX1qNS3EOldmDYdVD0=","C8cp1IDehsmz154vWiwsVd+cpDX1qNS3EOldmDYdVD0=","C8cp1IDehsmz154vWiwsVd+cpDX1qNS3EOldmDYdVD0=","","","","0","0","2021-02-03","en"
"upKGuyFJn7gO4NgYz91Uwqe3Y3KXFGb7vrj+ObYY4=","upKGuyFJn7gO4NgYz91Uwqe3Y3KXFGb7vrj+ObYY4=","upKGuyFJn7gO4NgYz91Uwqe3Y3KXFGb7vrj+ObYY4=","","","","0","0","2021-02-06","en"
"jwc1vcWGhL70FewHYk0h1KDTg+hcYYXs6VS+tfLyz4M=","jwc1vcWGhL70FewHYk0h1KDTg+hcYYXs6VS+tfLyz4M=","jwc1vcWGhL70FewHYk0h1KDTg+hcYYXs6VS+tfLyz4M=","","","","0","0","2021-02-06","en"
"gDdLl83E2dZZVAEMzGrzQsiD41d8M6qESS7JauQpFqY=","gDdLl83E2dZZVAEMzGrzQsiD41d8M6qESS7JauQpFqY=","gDdLl83E2dZZVAEMzGrzQsiD41d8M6qESS7JauQpFqY=","","","","0","0","2021-02-03","en"
"FaQhPr5wNSOnPaggMiDDXmQ5p2EbK9a1XiE4rGAry9w=","FaQhPr5wNSOnPaggMiDDXmQ5p2EbK9a1XiE4rGAry9w=","FaQhPr5wNSOnPaggMiDDXmQ5p2EbK9a1XiE4rGAry9w=","","","","0","0","2021-01-31","en"
"pdTTn4bAlevYYl9HSN1Ph7gS60qd4ty7LQsBn+x+GU=","pdTTn4bAlevYYl9HSN1Ph7gS60qd4ty7LQsBn+x+GU=","pdTTn4bAlevYYl9HSN1Ph7gS60qd4ty7LQsBn+x+GU=","","","","0","0","2021-02-23","en"
"YOP9Gs1IP4zbCZfyp28l4N4n3ZgI+UsH3Z8GjFB64yA=","YOP9Gs1IP4zbCZfyp28l4N4n3ZgI+UsH3Z8GjFB64yA=","YOP9Gs1IP4zbCZfyp28l4N4n3ZgI+UsH3Z8GjFB64yA=","","","","0","0","2021-01-31","en"
"fftBU7ANJCCUwOfY7cOC9V98wK35L2GLVBwUKh0ToTk=","fftBU7ANJCCUwOfY7cOC9V98wK35L2GLVBwUKh0ToTk=","fftBU7ANJCCUwOfY7cOC9V98wK35L2GLVBwUKh0ToTk=","","","","0","0","2021-01-31","en"
"n4jDli+wiAhbzZBERcpTGoHtlWMjjoS3Ga5x6tdJHQI=","n4jDli+wiAhbzZBERcpTGoHtlWMjjoS3Ga5x6tdJHQI=","n4jDli+wiAhbzZBERcpTGoHtlWMjjoS3Ga5x6tdJHQI=","","","","0","0","2021-01-31","en"
"xSEvhs8Pfoq7yaP6HVDS3x9sQe7waulVjLdIr4gXag=","xSEvhs8Pfoq7yaP6HVDS3x9sQe7waulVjLdIr4gXag=","xSEvhs8Pfoq7yaP6HVDS3x9sQe7waulVjLdIr4gXag=","","","","0","0","2021-02-06","en"
