"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"zsenRwAScjZ8LExKELj9TSOtg1NnkboDxsNO7UNjg3I=","zsenRwAScjZ8LExKELj9TSOtg1NnkboDxsNO7UNjg3I=","zsenRwAScjZ8LExKELj9TSOtg1NnkboDxsNO7UNjg3I=","","New Twitter account because wow...","","0","0","2020-06-22","en"
"vK8UwGZrpBA70DehgBD5fNdF7KVZp3IoC7mLrulaK+s=","vK8UwGZrpBA70DehgBD5fNdF7KVZp3IoC7mLrulaK+s=","vK8UwGZrpBA70DehgBD5fNdF7KVZp3IoC7mLrulaK+s=","","","","2","37","2018-02-19","fr"
"L2G702bVywdoEcg4fvALnoLvGLaUsj9TfGPUB1i3ido=","L2G702bVywdoEcg4fvALnoLvGLaUsj9TfGPUB1i3ido=","L2G702bVywdoEcg4fvALnoLvGLaUsj9TfGPUB1i3ido=","","INFORMATIONS SUR LA VIE POLITIQUE  CENTRAFRICAINE","","25","97","2020-03-05","en"
"LDjuNho5LvXsnIKVRghaCtUQZWPPW7yO3U6fJ55po=","LDjuNho5LvXsnIKVRghaCtUQZWPPW7yO3U6fJ55po=","LDjuNho5LvXsnIKVRghaCtUQZWPPW7yO3U6fJ55po=","Khartoum","Sarcastic reality of my country","","1760","2126","2019-11-18","en"
"L0KNstd0TIoRFvRi3V019doV0bqSCl0EdU1pFAa7T4=","L0KNstd0TIoRFvRi3V019doV0bqSCl0EdU1pFAa7T4=","L0KNstd0TIoRFvRi3V019doV0bqSCl0EdU1pFAa7T4=","South Africa","African news portal specializing in noteworthy incidents, traffic accidents, political agenda etc.","https://t.co/x05eQ973N2","1038","846","2018-12-14","en"
"xdTTUzdeLSBb0X5fVt9ayB7hocjAE6tIuLXGYNJ8nvI=","xdTTUzdeLSBb0X5fVt9ayB7hocjAE6tIuLXGYNJ8nvI=","xdTTUzdeLSBb0X5fVt9ayB7hocjAE6tIuLXGYNJ8nvI=","South Africa","News portal releasing current social, political, sport and cultural agenda in the south of Africa. Macroregional and essential world news.","https://t.co/w6QHvdBCtA","1994","897","2018-12-15","en"
"gr37GPqumDqGSNhej97dI12Kn4zH01SnNqLGFfkWY+o=","gr37GPqumDqGSNhej97dI12Kn4zH01SnNqLGFfkWY+o=","gr37GPqumDqGSNhej97dI12Kn4zH01SnNqLGFfkWY+o=","","","","11","318","2020-12-16","en"
"cI+IirYytjRi1t9ePDfacjZBydCuBVa4QOEarkxw=","cI+IirYytjRi1t9ePDfacjZBydCuBVa4QOEarkxw=","cI+IirYytjRi1t9ePDfacjZBydCuBVa4QOEarkxw=","","Ndjoni Sango, n°1 des médias centrafricains qui a pour vision de booster le système d'informations en RCA. La version papier est aussi disponible à Bangui.","","137","107","2020-06-08","fr"
"ibSV+xXBkt7edQ6jONyX0Ics8ODcmHVRx3o8NUReRvE=","ibSV+xXBkt7edQ6jONyX0Ics8ODcmHVRx3o8NUReRvE=","ibSV+xXBkt7edQ6jONyX0Ics8ODcmHVRx3o8NUReRvE=","","","","0","0","2015-09-10","fr"
"RV4Scp0btHfZRzrDxTN6eRy6e1E9YZz1NMricCxgs=","RV4Scp0btHfZRzrDxTN6eRy6e1E9YZz1NMricCxgs=","RV4Scp0btHfZRzrDxTN6eRy6e1E9YZz1NMricCxgs=","","","","32","267","2011-04-14","en"
"YLmjzbFGd9m+RYPiFVFJO2hwNT95wOPz25tbqpA75mQ=","YLmjzbFGd9m+RYPiFVFJO2hwNT95wOPz25tbqpA75mQ=","YLmjzbFGd9m+RYPiFVFJO2hwNT95wOPz25tbqpA75mQ=","","ma diversité de penser😉","","3","16","2021-03-03","en"
"1196760203896795137","Central African Reporter","ReporterCentral","Central African Republic","🇨🇫🗞️ Sharing news from Central African Republic 
🇨🇫📰 Partager les nouvelles de la République Centrafricaine","","5580","4626","2019-11-19","en"
"uxo6wARzTLRMNAXmiqUIWD6eRfmWmE5hh3d3wuKu8Rk=","uxo6wARzTLRMNAXmiqUIWD6eRfmWmE5hh3d3wuKu8Rk=","uxo6wARzTLRMNAXmiqUIWD6eRfmWmE5hh3d3wuKu8Rk=","","","","0","16","2020-02-24","en"
"yoBhuNyUmCl9eh4vjjnyfY+8LghOhW4ixZq6iqeew=","yoBhuNyUmCl9eh4vjjnyfY+8LghOhW4ixZq6iqeew=","yoBhuNyUmCl9eh4vjjnyfY+8LghOhW4ixZq6iqeew=","","","","7","0","2018-02-07","en"
"+CXVtzg2QuhCl8Eg67upC4vh+JBX5O4WGsUpdtWSU0=","+CXVtzg2QuhCl8Eg67upC4vh+JBX5O4WGsUpdtWSU0=","+CXVtzg2QuhCl8Eg67upC4vh+JBX5O4WGsUpdtWSU0=","Bangui-République Centrafrique","https://t.co/bIZZvB1GFV
N°1 des médias Centrafricains en ligne
Un journal Panafricain pour les Millenials 
""Information au service de développement en Centrafrique""","https://t.co/bIZZvB1GFV","5","36","2021-02-28","en"
"Vc7UBtCsnKQ1prVPP0kHTYVJC1pfE92kfPeB6CibhKc=","Vc7UBtCsnKQ1prVPP0kHTYVJC1pfE92kfPeB6CibhKc=","Vc7UBtCsnKQ1prVPP0kHTYVJC1pfE92kfPeB6CibhKc=","Johannesburg","","","142","630","2012-04-12","en"
