"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"i81M3RKioj11TGq3TQkPrus8kIM6LBXWWGzIN6mzQs=","i81M3RKioj11TGq3TQkPrus8kIM6LBXWWGzIN6mzQs=","i81M3RKioj11TGq3TQkPrus8kIM6LBXWWGzIN6mzQs=","269 Sandown Rd Lambertsbaai","","","15","86","2020-06-25","en"
"ZAefiIwOrFOwuVhWnfTSvKnloJGytlYbMy0TTxTTnIA=","ZAefiIwOrFOwuVhWnfTSvKnloJGytlYbMy0TTxTTnIA=","ZAefiIwOrFOwuVhWnfTSvKnloJGytlYbMy0TTxTTnIA=","","","","0","12","2020-10-15","en"
"Fsv0kGKpWouFop6ue8eoa0uSgSPDuDadcl+yMumYI=","Fsv0kGKpWouFop6ue8eoa0uSgSPDuDadcl+yMumYI=","Fsv0kGKpWouFop6ue8eoa0uSgSPDuDadcl+yMumYI=","2412 Gray Pl Ntokozweni","","","0","27","2020-09-08","en"
"89FT65oy5V4sDffREUWc1jndr2fnw3iSbwt1eFhX4E=","89FT65oy5V4sDffREUWc1jndr2fnw3iSbwt1eFhX4E=","89FT65oy5V4sDffREUWc1jndr2fnw3iSbwt1eFhX4E=","1794 Rus St Huguenot","","","1","8","2020-07-01","en"
"gqzl9J6ZKgaGAyzQnn4vdMsCBd+tKNBBymWPrtEw2c=","gqzl9J6ZKgaGAyzQnn4vdMsCBd+tKNBBymWPrtEw2c=","gqzl9J6ZKgaGAyzQnn4vdMsCBd+tKNBBymWPrtEw2c=","","","","0","19","2020-07-13","en"
"XAgvKJsPz29Xq+ftaRvImCDcJKz0YmArIBCCoECpTb8=","XAgvKJsPz29Xq+ftaRvImCDcJKz0YmArIBCCoECpTb8=","XAgvKJsPz29Xq+ftaRvImCDcJKz0YmArIBCCoECpTb8=","","","","0","9","2020-06-22","en"
"i5aGGvZpOqGIrJqDO5gTLnBMv9jlcuLq22y90Ho8qs=","i5aGGvZpOqGIrJqDO5gTLnBMv9jlcuLq22y90Ho8qs=","i5aGGvZpOqGIrJqDO5gTLnBMv9jlcuLq22y90Ho8qs=","554 Burger St Cullinan","","","1","52","2020-07-13","en"
"IoQyzldQ6pdfw+bj4yBa8uYeFowl9B30D4hV2mhhw8=","IoQyzldQ6pdfw+bj4yBa8uYeFowl9B30D4hV2mhhw8=","IoQyzldQ6pdfw+bj4yBa8uYeFowl9B30D4hV2mhhw8=","2084 Thomas St Pomeroy","","","0","16","2020-09-08","en"
"MtmNotFCnBlEbKhZaEFWibGI5HbbkAXozdw2F9I05sY=","MtmNotFCnBlEbKhZaEFWibGI5HbbkAXozdw2F9I05sY=","MtmNotFCnBlEbKhZaEFWibGI5HbbkAXozdw2F9I05sY=","","","","0","0","2020-06-19","en"
"xloxqCh9f2sS+ZY7J+2TPnUKiVKUGpo4vv2QCkJABw=","xloxqCh9f2sS+ZY7J+2TPnUKiVKUGpo4vv2QCkJABw=","xloxqCh9f2sS+ZY7J+2TPnUKiVKUGpo4vv2QCkJABw=","","","","0","0","2020-06-22","en"
"YfprAcJnVw0zavdQ6id2iTZ4dWUfr+eql8jyC15hxPk=","YfprAcJnVw0zavdQ6id2iTZ4dWUfr+eql8jyC15hxPk=","YfprAcJnVw0zavdQ6id2iTZ4dWUfr+eql8jyC15hxPk=","","","","0","7","2020-07-30","en"
"cQSecDAaUN0eqrw5DALhp8dUy2s27JRip5yrune2g=","cQSecDAaUN0eqrw5DALhp8dUy2s27JRip5yrune2g=","cQSecDAaUN0eqrw5DALhp8dUy2s27JRip5yrune2g=","1439 Oranje St Ficksburg","","","1","19","2020-08-21","en"
"EPfYVur+UeHaa7EUOrU1KZC0rdBHAu4tYvcwJda3jk=","EPfYVur+UeHaa7EUOrU1KZC0rdBHAu4tYvcwJda3jk=","EPfYVur+UeHaa7EUOrU1KZC0rdBHAu4tYvcwJda3jk=","","","","0","13","2020-10-15","en"
"qebwb889zyNBdl0H45LZFxq6kZw5iY7aw4bVcyntXkA=","qebwb889zyNBdl0H45LZFxq6kZw5iY7aw4bVcyntXkA=","qebwb889zyNBdl0H45LZFxq6kZw5iY7aw4bVcyntXkA=","Prospect St Pretoria","","","1","13","2020-09-04","en"
"fb7GO9tdtQ0NNe7AK04mHxiLa59aG5BY2AuUhb6eFFQ=","fb7GO9tdtQ0NNe7AK04mHxiLa59aG5BY2AuUhb6eFFQ=","fb7GO9tdtQ0NNe7AK04mHxiLa59aG5BY2AuUhb6eFFQ=","","","","10","63","2020-08-07","en"
"EFbaxKpWnEYX2uSHcd3w45ECQlHbtrfggM1H2SFUQ=","EFbaxKpWnEYX2uSHcd3w45ECQlHbtrfggM1H2SFUQ=","EFbaxKpWnEYX2uSHcd3w45ECQlHbtrfggM1H2SFUQ=","","","","0","0","2020-06-19","en"
"jx7WDbmfarZ2J+VV7UvX9WloAHM0B4RHRPtQjJIDKUo=","jx7WDbmfarZ2J+VV7UvX9WloAHM0B4RHRPtQjJIDKUo=","jx7WDbmfarZ2J+VV7UvX9WloAHM0B4RHRPtQjJIDKUo=","1959 Station Road Ladysmith","","","0","28","2020-07-01","en"
"t8NobTs6AxyINi+h1jwSIPPRVivacRXg5zR2FJ7CFWA=","t8NobTs6AxyINi+h1jwSIPPRVivacRXg5zR2FJ7CFWA=","t8NobTs6AxyINi+h1jwSIPPRVivacRXg5zR2FJ7CFWA=","","","","1","17","2020-06-30","en"
"jfQHh5IImMFqLFZqD6EM4ifnY2gwhuL56bCs5IeG3LM=","jfQHh5IImMFqLFZqD6EM4ifnY2gwhuL56bCs5IeG3LM=","jfQHh5IImMFqLFZqD6EM4ifnY2gwhuL56bCs5IeG3LM=","","be yourself","","34","84","2020-08-05","en"
"d3U5vowVk5js93zKlGcqCqVOna61tQr8aJUgC3nGn+8=","d3U5vowVk5js93zKlGcqCqVOna61tQr8aJUgC3nGn+8=","d3U5vowVk5js93zKlGcqCqVOna61tQr8aJUgC3nGn+8=","1151 Voortrekker St Mayville","","","0","12","2020-07-08","en"
"RzgKmIU39UulP1E7uMg56XBR7txpqPZTXU07fWLsNlQ=","RzgKmIU39UulP1E7uMg56XBR7txpqPZTXU07fWLsNlQ=","RzgKmIU39UulP1E7uMg56XBR7txpqPZTXU07fWLsNlQ=","Morgan Rd KwaMbonambi 3915","","","0","30","2020-08-31","en"
"lhcU+tRIG9Ouf75KfrKMzaT65WAMRsdH0PezcELqkc=","lhcU+tRIG9Ouf75KfrKMzaT65WAMRsdH0PezcELqkc=","lhcU+tRIG9Ouf75KfrKMzaT65WAMRsdH0PezcELqkc=","","","","0","6","2020-07-27","en"
"+1JTikVPCgcESCFzWdnFoi8JnjuCBX0BqhTXkMkA3s=","+1JTikVPCgcESCFzWdnFoi8JnjuCBX0BqhTXkMkA3s=","+1JTikVPCgcESCFzWdnFoi8JnjuCBX0BqhTXkMkA3s=","","","","4","19","2020-09-02","en"
"ixNrIiTYNUHG1OEMHIbFwSojRAioIMHHKh+x1BmP7kk=","ixNrIiTYNUHG1OEMHIbFwSojRAioIMHHKh+x1BmP7kk=","ixNrIiTYNUHG1OEMHIbFwSojRAioIMHHKh+x1BmP7kk=","1764 North Street Madikwe","","","10","63","2020-07-22","en"
